"id_unico","nombre","nombre_municipio","distancia_m_linea_electrica","ccaa","provincia"
344,"Manuel Díaz","Castril","13472.47922759","Andalucía","Granada"
446,"Albondón","Albondón","7125.81730831","Andalucía","Granada"
859,"Villarejo de Medina","Anguita","0","Castilla-La Mancha","Guadalajara"
405,"Almaciles","Puebla de Don Fadrique","99999","Andalucía","Granada"
451,"Aguaderico 3º","Cúllar","13209.08216967","Andalucía","Granada"
481,"Tarifa","Cúllar","14484.32743556","Andalucía","Granada"
495,"Aguaderico 2º","Cúllar","12594.84437945","Andalucía","Granada"
583,"Hiendelaencina","Hiendelaencina","14449.57630383","Castilla-La Mancha","Guadalajara"
590,"Pantano del Vado","Retiendas","18744.6507683","Castilla-La Mancha","Guadalajara"
600,"Aldehuela","Prados Redondos","7944.57799135","Castilla-La Mancha","Guadalajara"
602,"Peñalba de la Sierra","El Cardoso de la Sierra","15342.71072616","Castilla-La Mancha","Guadalajara"
647,"La Buenafuente del Sistal","Olmeda de Cobeta","16523.27049692","Castilla-La Mancha","Guadalajara"
657,"Durón","Durón","0","Castilla-La Mancha","Guadalajara"
662,"Semillas","Semillas","17208.28265504","Castilla-La Mancha","Guadalajara"
711,"Otilla","Torrecuadrada de Molina","12190.80671253","Castilla-La Mancha","Guadalajara"
712,"Taravilla","Taravilla","0","Castilla-La Mancha","Guadalajara"
722,"Cabida","El Cardoso de la Sierra","15502.74346929","Castilla-La Mancha","Guadalajara"
728,"La Vereda","Campillo de Ranas","16932.78412717","Castilla-La Mancha","Guadalajara"
730,"Alaminos","Alaminos","11382.17078026","Castilla-La Mancha","Guadalajara"
732,"Corralejo","El Cardoso de la Sierra","17080.61768855","Castilla-La Mancha","Guadalajara"
746,"Escalera","Valhermoso","7879.34216904","Castilla-La Mancha","Guadalajara"
765,"Anchuela del Pedregal","Molina de Aragón","5759.98568438","Castilla-La Mancha","Guadalajara"
774,"La Bodera","La Bodera","15972.32026827","Castilla-La Mancha","Guadalajara"
790,"Torremochuela","Torremochuela","6367.11096083","Castilla-La Mancha","Guadalajara"
816,"Escamilla","Escamilla","3350.08622306","Castilla-La Mancha","Guadalajara"
827,"Pradilla","Prados Redondos","5684.42607278","Castilla-La Mancha","Guadalajara"
835,"Huertapelayo","Zaorejas","14771.61611008","Castilla-La Mancha","Guadalajara"
841,"San Andrés del Rey","San Andrés del Rey","1580.29504194","Castilla-La Mancha","Guadalajara"
843,"Alique","Alique","7455.27931429","Castilla-La Mancha","Guadalajara"
844,"Hontanares","Brihuega","11129.76991832","Castilla-La Mancha","Guadalajara"
845,"Yélamos de Arriba","Yélamos de Arriba","2501.51231086","Castilla-La Mancha","Guadalajara"
868,"Las Navas de Jadraque","Las Navas de Jadraque","19978.47589451","Castilla-La Mancha","Guadalajara"
884,"Pajares","Brihuega","3117.92106201","Castilla-La Mancha","Guadalajara"
893,"Valdesotos","Valdesotos","13510.20072748","Castilla-La Mancha","Guadalajara"
911,"Robledo de Corpes","Robledo de Corpes","16678.68882115","Castilla-La Mancha","Guadalajara"
903,"La Huerce","La Huerce","99999","Castilla-La Mancha","Guadalajara"
917,"Cogollor","Cogollor","11682.84959828","Castilla-La Mancha","Guadalajara"
918,"Padilla del Ducado","Anguita","1166.53427186","Castilla-La Mancha","Guadalajara"
931,"Cubillejo del Sitio","Molina de Aragón","8612.75984943","Castilla-La Mancha","Guadalajara"
933,"Torrecuadrada de Molina","Torrecuadrada de Molina","9848.75662207","Castilla-La Mancha","Guadalajara"
935,"Castilnuevo","Castilnuevo","2283.53301567","Castilla-La Mancha","Guadalajara"
943,"Naharros","La Miñosa","19670.77185799","Castilla-La Mancha","Guadalajara"
947,"Villar de Cobeta","Zaorejas","14863.19623898","Castilla-La Mancha","Guadalajara"
949,"Ribarredonda","Riba de Saelices","6682.53497946","Castilla-La Mancha","Guadalajara"
960,"Canales del Ducado","Sacecorbo","8069.51709678","Castilla-La Mancha","Guadalajara"
978,"Puebla de Valles","Puebla de Valles","13616.27348252","Castilla-La Mancha","Guadalajara"
972,"Campillo de Ranas","Campillo de Ranas","99999","Castilla-La Mancha","Guadalajara"
979,"Paredes de Sigüenza","Paredes de Sigüenza","18190.95619448","Castilla-La Mancha","Guadalajara"
991,"Fuembellida","Fuembellida","5069.18299197","Castilla-La Mancha","Guadalajara"
992,"Valhermoso","Valhermoso","2876.01239144","Castilla-La Mancha","Guadalajara"
1000,"Ocentejo","Ocentejo","9237.54180791","Castilla-La Mancha","Guadalajara"
1008,"Gascueña de Bornova","Gascueña de Bornova","99999","Castilla-La Mancha","Guadalajara"
1010,"Cardeñosa","Riofrío del Llano","12718.10326979","Castilla-La Mancha","Guadalajara"
1013,"Bocígano","El Cardoso de la Sierra","13800.72229003","Castilla-La Mancha","Guadalajara"
1014,"Malacuera","Brihuega","4764.28054409","Castilla-La Mancha","Guadalajara"
1030,"La Loma","Riba de Saelices","8548.36874273","Castilla-La Mancha","Guadalajara"
1042,"Traíd","Traíd","12734.89170857","Castilla-La Mancha","Guadalajara"
1053,"Tordelpalo","Molina de Aragón","6677.50839084","Castilla-La Mancha","Guadalajara"
1060,"Las Salinas de Armallá","Tierzo","122.83247123","Castilla-La Mancha","Guadalajara"
1065,"Valtablado del Río","Valtablado del Río","13204.88332525","Castilla-La Mancha","Guadalajara"
1091,"Rebollosa de Jadraque","Rebollosa de Jadraque","10046.45442399","Castilla-La Mancha","Guadalajara"
1094,"Tierzo","Tierzo","240.73969768","Castilla-La Mancha","Guadalajara"
1103,"Cuevas Labradas","Corduente","13861.28144128","Castilla-La Mancha","Guadalajara"
1304,"Santa Eulalia","Almonaster la Real","568.49735019","Andalucía","Huelva"
1384,"El Pozuelo","Zalamea la Real","8145.44792891","Andalucía","Huelva"
1389,"El Villar","Zalamea la Real","237.17881465","Andalucía","Huelva"
1392,"Encinasola","Encinasola","15850.58016529","Andalucía","Huelva"
1398,"Santa Olalla del Cala","Santa Olalla del Cala","7776.3537059","Andalucía","Huelva"
1474,"Bailo","Bailo","8005.97780059","Aragón","Huesca"
1501,"Laguarta","Sabiñánigo","0","Aragón","Huesca"
1504,"Sarsa de Surta","Aínsa-Sobrarbe","11733.75940621","Aragón","Huesca"
1510,"Alastuey","Bailo","6457.46976352","Aragón","Huesca"
1810,"Arbués","Bailo","8247.00984055","Aragón","Huesca"
1589,"Cerésola","Sabiñánigo","3467.92362412","Aragón","Huesca"
1590,"Albella","Fiscal","4137.68869291","Aragón","Huesca"
2050,"Noguero","Monesma y Cajigar","7764.22910622","Aragón","Huesca"
1626,"Puente la Reina de Jaca","Puente la Reina de Jaca","2388.32018973","Aragón","Huesca"
2163,"Estación de Huesa","Cabra del Santo Cristo","10227.26792273","Andalucía","Jaén"
1631,"San Felices de Ara","Fiscal","2776.83175085","Aragón","Huesca"
1664,"Cañada del Señor","Siles","19750.30937794","Andalucía","Jaén"
1676,"Javierregay","Puente la Reina de Jaca","0","Aragón","Huesca"
1720,"Lecina","Bárcabo","13302.38433023","Aragón","Huesca"
1723,"Betorz","Bárcabo","13252.02866755","Aragón","Huesca"
