"municipio","provincia","ccaa","var_pob_2014_2023","num_infra_nuevas"
"Rillo","Teruel","Aragón","-8.490566037735851","0"
"Alfara de Carles","Tarragona","Cataluña-Catalunya","-8.607594936708859","0"
"Fuente-Olmedo","Valladolid","Castilla y León","-9.756097560975610","0"
"Bellreguard","València-Valencia","Comunitat Valenciana","2.101018675721560","0"
"Beniarjó","València-Valencia","Comunitat Valenciana","3.140495867768590","0"
"Navamorales","Salamanca","Castilla y León","-44.871794871794897","0"
"Torre del Burgo","Guadalajara","Castilla-La Mancha","106.637168141592994","0"
"Gualta","Girona","Cataluña-Catalunya","18.784530386740297","0"
"Canet d'En Berenguer","València-Valencia","Comunitat Valenciana","15.390724269377401","0"
"Navas de Jorquera","Albacete","Castilla-La Mancha","0.000000000000000","0"
"Fresno del Río","Palencia","Castilla y León","-5.820105820105820","0"
"Santa Cruz de Nogueras","Teruel","Aragón","-45.238095238095198","0"
